coches
id_coche,modelo,año_modelo,Chasis,velocidad_max,potencia_motor,id_equipo
1,RB19,2023,CF-123,350,1050,1
2,W14,2023,CF-234,340,1020,2
3,SF-23,2023,CF-345,345,1035,3
4,MC23,2023,CF-456,342,1025,4
5,AMR23,2023,CF-567,343,1030,5
6,A523,2023,CF-678,341,1015,6
7,AT04,2023,CF-789,340,1010,7
8,C43,2023,CF-890,342,1005,8
9,VF-23,2023,CF-901,340,1000,9
10,FW45,2023,CF-012,338,995,10
11,RB18,2022,CF-345,348,1045,1
12,W13,2022,CF-456,338,1010,2
13,F1-75,2022,CF-567,344,1030,3
14,MC22,2022,CF-678,340,1020,4
15,AMR22,2022,CF-789,342,1015,5
16,A522,2022,CF-890,339,1005,6
17,AT03,2022,CF-901,338,1000,7
18,C42,2022,CF-012,340,995,8
19,VF-22,2022,CF-123,339,990,9
20,FW44,2022,CF-234,337,985,10
21,RB16B,2021,CF-345,350,1050,1
22,W12,2021,CF-456,340,1005,2
23,SF21,2021,CF-567,345,1030,3
24,MC21,2021,CF-678,342,1015,4
25,AMR21,2021,CF-789,343,1010,5
26,A521,2021,CF-890,339,1000,6
27,AT02,2021,CF-901,338,995,7
28,C41,2021,CF-012,340,990,8
29,VF-21,2021,CF-123,338,985,9
30,FW43B,2021,CF-234,336,980,10
