pilotos
id_piloto,Nombre,Apellido,Nacionalidad,Fecha_Nacimiento
1,Max,Verstappen,Holanda,1997-09-30
2,Lewis,Hamilton,Reino Unido,1985-01-07
3,Charles,Leclerc,Monaco,1997-10-16
4,Sergio,Pérez,México,1990-01-26
5,Lando,Norris,Reino Unido,1999-11-13
6,Fernando,Alonso,España,1981-07-29
7,Esteban,Ocon,Francia,1996-09-17
8,Pierre,Gasly,Francia,1996-02-07
9,Valtteri,Bottas,Finlandia,1989-08-28
10,George,Russell,Reino Unido,1998-02-15
11,Carlos,Sainz,España,1994-09-01
12,Oscar,Piastri,Australia,2001-04-06
13,Kevin,Magnussen,Dinamarca,1992-10-05
14,Nico,Hülkenberg,Alemania,1987-08-19
15,Yuki,Tsunoda,Japón,2000-05-11
16,Logan,Sargeant,Estados Unidos,2000-12-31
17,Alexander,Albon,Tailandia,1996-03-23
18,Lance,Stroll,Canadá,1998-10-29
19,Nyck,de Vries,Holanda,1995-02-06
20,Daniel,Ricciardo,Australia,1989-07-01
21,Zhou,Guanyu,China,1999-05-30
22,Mick,Schumacher,Alemania,1999-03-22
23,Nicholas,Latifi,Canadá,1995-06-29
24,Sebastian,Vettel,Alemania,1987-07-03
25,Daniel,Ricciardo,Australia,1989-07-01
26,Alex,Albon,Tailandia,1996-03-23
27,Nico,Hülkenberg,Alemania,1987-08-19
28,Robert,Kubica,Polonia,1984-12-07
29,Antonio,Giovinazzi,Italia,1993-12-14
30,Kimi,Räikkönen,Finlandia,1979-10-17
31,Liam,Lawson,Australia,2002-02-11
32,Nikita,Mazepin,Rusia,1999-03-02
