resultados
id_resultado,id_temporada,id_piloto,id_equipo,puntos,posicion
1,1,1,1,395,1
2,1,2,2,387,2
3,1,9,2,226,3
4,1,4,1,190,4
5,1,11,3,164,5
6,1,5,4,160,6
7,1,3,3,159,7
8,1,20,4,115,8
9,1,8,7,110,9
10,1,6,6,81,10
11,1,7,6,74,11
12,1,24,5,43,12
13,1,18,5,34,13
14,1,15,7,32,14
15,1,10,10,16,15
16,1,30,8,10,16
17,1,23,10,7,17
18,1,29,8,3,18
19,1,22,9,0,19
20,1,32,9,0,20
21,1,28,8,0,21
22,2,1,1,454,1
23,2,3,3,308,2
24,2,4,1,305,3
25,2,10,2,275,4
26,2,11,3,246,5
27,2,2,2,240,6
28,2,5,4,122,7
29,2,7,6,92,8
30,2,6,6,81,9
31,2,9,8,49,10
32,2,20,4,37,11
33,2,24,5,37,12
34,2,13,9,25,13
35,2,8,7,23,14
36,2,18,5,18,15
37,2,22,9,12,16
38,2,15,7,12,17
39,2,21,8,6,18
40,2,26,10,4,19
41,2,23,10,2,20
42,2,19,10,2,21
43,2,27,5,0,22
44,3,1,1,575,1
45,3,4,1,285,2
46,3,2,2,234,3
47,3,6,5,206,4
48,3,3,3,206,5
49,3,5,4,205,6
50,3,11,3,200,7
51,3,10,2,175,8
52,3,12,4,97,9
53,3,18,5,74,10
54,3,8,6,62,11
55,3,7,6,58,12
56,3,26,10,27,13
57,3,15,7,17,14
58,3,9,8,10,15
59,3,24,9,9,16
60,3,20,7,6,17
61,3,21,8,6,18
62,3,13,9,3,19
63,3,31,7,2,20
64,3,16,10,1,21
65,3,19,7,0,22
